File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201208_133719
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
400,"121,582","118,263","124,467","112,237","117,612","113,461","125,008","125,504","128,233","113,863","126,637","129,039","130,449","124,745","115,080","97,171","128,386","120,741","118,976","118,588","120,192","122,775","123,714","117,008","128,027","119,133","121,951","107,424","114,275","125,276","117,169","118,694","120,357","115,016","102,555","122,273","117,441","110,582","112,020","119,514","118,876","119,537","119,408","122,369","117,727","121,524","122,733","118,006","121,596","118,675","119,600","118,725","121,465","106,404","114,716","115,839","122,161","121,424","114,278","123,051","116,525","112,373","120,765","114,437","120,520","116,282","117,975","111,900","114,157","119,035","126,941","132,551","122,520","122,408","124,088","122,104","128,600","117,116","116,618","119,865","127,355","122,863","128,278","125,865","27,714","128,206","129,769","131,994","126,286","128,386","120,875","125,280","125,731","127,349","122,267","124,290"
420,"125,969","120,776","128,067","115,757","120,369","116,525","129,122","128,245","131,329","116,031","130,467","132,906","133,582","128,496","117,773","99,847","131,208","124,739","121,631","123,224","124,376","126,833","127,304","118,947","130,790","121,478","125,557","109,633","115,925","128,453","121,102","122,767","124,527","117,722","109,580","125,665","120,841","112,806","114,810","123,818","122,157","123,163","123,159","125,506","121,310","123,769","126,651","121,261","125,043","123,398","121,527","121,190","123,763","108,602","115,908","118,124","125,235","124,665","116,412","125,706","118,555","114,075","124,959","116,000","124,502","119,288","122,516","113,822","116,396","122,780","129,678","134,663","126,514","127,033","128,582","125,451","131,784","120,675","119,727","122,525","131,231","126,806","131,831","128,943","27,637","131,551","133,175","135,080","130,663","131,439","124,147","128,178","129,492","130,522","125,520","127,180"
440,"129,996","123,784","131,741","119,635","123,125","119,610","131,531","130,504","133,847","118,482","132,553","136,075","136,116","131,594","120,398","102,253","133,592","128,541","124,610","127,175","128,329","129,680","130,227","120,604","133,329","124,794","128,045","111,429","117,475","131,337","125,204","126,063","127,865","120,416","116,651","128,743","123,522","115,229","116,800","127,918","125,671","125,880","127,439","128,445","124,445","125,702","129,251","124,100","127,898","127,127","123,861","123,325","126,622","109,978","117,241","120,463","127,539","127,631","118,237","128,037","121,355","115,635","128,306","118,041","128,045","123,051","126,080","115,680","118,529","126,357","131,343","136,457","129,353","130,182","131,598","128,763","133,290","123,467","123,559","125,629","133,075","129,390","133,545","131,241","27,684","133,604","135,731","136,837","133,253","133,784","126,631","130,873","132,335","132,578","128,459","128,806"
460,"131,520","125,076","133,427","121,616","124,925","121,494","132,218","130,918","134,016","119,565","132,876","136,378","136,369","132,265","121,051","103,071","133,086","129,212","126,014","128,041","129,180","130,198","130,622","121,018","133,359","126,133","129,867","111,396","117,941","131,567","126,625","127,476","129,045","122,439","120,161","130,318","124,463","116,998","117,475","129,376","127,973","126,953","128,543","129,286","125,429","125,741","129,735","125,894","128,886","129,445","124,837","124,249","127,857","110,125","117,304","121,680","127,924","128,437","118,694","128,635","122,800","115,586","129,014","118,749","129,167","124,580","127,359","116,151","119,480","127,580","131,551","135,920","130,600","130,965","132,445","130,176","133,400","124,143","125,920","127,367","132,978","130,035","133,600","131,747","27,520","134,192","135,649","137,010","133,745","134,292","128,027","131,327","132,747","132,769","129,480","129,373"
480,"135,792","129,218","137,200","125,614","129,910","126,625","135,398","133,745","136,925","123,353","136,400","139,322","139,055","135,155","125,094","106,057","136,541","133,263","130,298","131,080","132,725","133,586","133,890","124,045","136,333","129,763","134,059","113,857","121,831","134,951","130,676","131,253","131,796","126,222","126,302","134,112","128,484","120,992","121,565","132,663","131,575","130,651","131,698","132,408","129,100","128,804","132,908","130,329","132,514","133,624","127,951","128,692","131,529","112,418","120,243","125,820","131,031","131,547","122,012","132,033","128,055","118,527","132,437","123,002","132,547","128,929","130,463","119,531","123,118","130,745","133,763","138,590","134,165","134,902","135,225","133,141","136,384","127,014","130,169","131,176","135,749","133,327","137,096","134,435","27,616","137,202","138,378","139,802","136,882","136,992","131,645","135,094","135,196","135,500","132,745","132,139"
500,"137,408","131,592","139,035","128,737","132,747","129,529","137,076","135,114","137,949","126,114","137,569","140,504","140,176","136,237","127,712","108,025","137,592","134,551","132,125","132,980","134,300","134,933","135,386","126,539","137,314","131,610","135,451","114,771","123,455","135,527","132,247","132,571","133,331","128,612","130,167","136,067","130,827","123,253","124,484","134,600","133,022","132,441","133,114","133,947","130,684","130,169","134,276","132,165","134,400","135,102","129,341","130,939","132,633","113,320","121,524","128,567","132,076","132,716","123,594","133,206","130,269","119,808","134,037","125,175","133,651","131,175","133,233","121,210","125,059","132,069","134,843","139,282","136,139","136,300","136,325","134,859","137,273","128,471","132,294","132,598","136,757","134,333","138,020","135,676","27,769","138,204","139,716","140,802","138,037","137,976","133,996","136,273","136,120","136,771","134,071","134,341"
"520,25","139,959","133,941","140,471","131,527","134,737","131,451","137,698","136,424","138,884","129,222","138,710","141,194","140,998","137,167","129,537","109,812","138,514","135,698","133,463","134,224","135,082","135,727","135,955","128,367","138,100","133,469","136,582","115,606","125,388","136,206","133,835","133,769","134,096","130,263","132,606","137,314","132,159","126,229","127,116","136,027","134,451","133,459","134,545","134,849","132,082","131,173","135,394","133,692","135,331","136,027","130,786","132,108","133,535","114,422","122,822","130,618","133,143","133,496","124,943","134,329","132,320","120,580","135,700","126,876","134,322","132,625","134,171","122,971","126,655","133,020","135,298","139,655","137,310","137,327","137,308","136,114","138,353","129,984","133,467","133,788","137,447","135,147","138,645","136,347","27,612","139,565","140,582","141,808","139,200","139,102","135,116","137,306","137,339","137,633","135,175","135,388"
540,"141,194","135,090","141,122","133,092","136,169","133,120","138,378","137,386","139,414","131,218","139,386","142,080","141,537","137,353","131,257","111,435","138,882","135,863","134,294","135,155","136,082","136,433","136,449","130,353","137,976","135,325","137,524","116,118","126,616","136,588","134,655","134,747","134,892","132,025","134,839","138,351","133,702","128,480","128,935","137,224","135,604","135,110","135,296","135,673","132,904","131,765","135,875","134,931","136,441","136,594","132,231","133,718","134,463","115,110","123,798","132,106","133,598","134,502","126,829","134,516","134,253","121,273","136,275","128,896","135,702","134,057","134,167","123,927","128,214","133,876","135,692","139,943","138,302","137,904","137,914","136,749","139,022","130,884","134,276","134,876","138,008","136,094","138,951","136,953","27,753","139,753","140,716","141,908","139,580","138,975","136,784","138,531","137,449","138,610","135,843","136,051"
"560,25","140,180","134,559","140,229","132,818","135,616","132,831","137,135","136,480","138,306","131,235","137,875","140,014","140,147","136,200","131,037","111,363","137,206","135,376","134,216","134,194","135,298","135,312","135,549","130,276","135,345","134,080","136,490","115,127","126,396","134,873","133,225","134,020","133,802","131,143","133,902","137,490","132,765","128,457","128,965","136,082","134,786","133,675","134,461","134,251","132,225","130,616","133,916","134,531","135,255","135,424","132,006","132,871","133,612","113,920","123,329","131,257","131,827","132,892","127,184","133,006","133,373","120,351","135,520","128,596","134,484","133,149","132,739","123,800","127,590","132,571","133,931","137,859","137,745","136,996","136,635","135,798","137,459","129,867","133,769","133,788","136,365","134,335","137,422","135,459","27,345","137,669","138,392","139,367","137,704","136,757","136,220","136,847","134,682","136,275","134,631","135,920"
580,"142,878","137,202","142,606","135,698","138,555","135,265","139,435","139,467","139,308","133,906","139,927","140,767","142,473","138,692","134,431","114,335","139,282","136,712","135,457","136,078","137,198","137,171","137,500","133,390","136,822","136,290","137,939","117,045","129,786","135,849","134,433","135,208","136,096","133,425","136,814","139,982","136,294","131,614","132,245","137,733","137,010","135,339","135,982","135,671","134,486","133,084","135,206","137,098","137,084","137,269","134,569","135,118","135,416","116,212","127,920","133,331","133,033","134,447","130,006","134,443","137,467","122,480","137,522","132,122","136,525","136,088","134,522","125,876","130,275","134,494","135,114","138,994","140,441","138,471","138,984","138,431","139,500","132,629","135,924","136,371","137,894","136,841","139,631","137,863","27,649","139,214","139,533","140,514","138,480","138,165","138,843","137,955","136,075","137,567","136,096","138,012"
