File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201209_143618
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
400,"44,282","28,861","29,788","40,835","56,214","42,029","49,449","57,810","49,347","56,725","68,918","68,916","41,565","30,225","37,845","49,625","45,367","61,786","48,080","67,075","55,294","62,345","49,753","30,649","55,788","47,112","50,365","41,625","40,478","64,996","54,633","35,149","78,451","42,137","58,455","45,590","48,918","51,255","41,033","60,639","69,408","61,712","44,847","46,335","56,065","54,280","59,069","44,192","40,167","51,514","41,302","43,571","60,686","40,229","32,569","38,647","62,953","40,724","27,867","35,239","49,600","66,500","67,161","52,337","60,422","43,878","49,765","47,453","45,631","49,904","59,114","48,525","42,745","38,745","55,992","40,931","60,149","50,886","60,920","43,996","50,669","56,943","77,222","38,482","27,825","35,508","51,794","65,133","48,955","46,186","29,784","51,669","38,888","48,484","46,037","35,484"
420,"44,008","28,733","29,775","40,596","56,233","41,814","49,361","58,204","49,255","56,592","69,490","69,629","41,408","30,308","37,647","49,420","45,524","62,418","47,867","66,308","54,908","62,678","49,569","30,384","55,841","46,575","50,276","40,806","40,071","65,392","54,565","34,982","81,045","41,904","59,518","45,665","48,355","51,027","41,080","60,422","69,565","62,173","44,649","46,522","55,714","54,190","59,404","43,967","40,076","51,165","42,153","43,312","61,143","39,618","32,398","38,245","63,378","40,371","27,812","35,327","49,157","67,141","66,784","52,410","60,118","43,745","49,784","47,016","45,298","49,912","59,039","48,310","42,071","38,355","56,025","40,780","60,424","50,739","61,416","43,900","50,263","57,327","78,402","38,937","27,933","35,306","51,600","65,690","48,961","46,727","29,657","50,973","38,963","48,327","45,520","35,351"
440,"43,392","28,510","29,355","39,849","55,055","41,582","48,757","57,773","48,296","56,157","69,143","68,963","40,600","29,827","36,933","48,804","45,061","61,937","47,014","65,678","54,182","62,137","48,529","30,186","55,190","46,106","50,233","40,280","39,437","65,998","54,365","34,657","81,541","41,392","59,927","44,757","47,747","50,665","40,329","60,343","69,516","62,506","44,529","46,129","55,439","53,588","58,720","43,524","39,563","50,569","42,143","42,635","60,886","38,986","32,053","37,590","63,127","39,606","27,694","35,343","48,629","66,825","65,900","51,825","59,443","43,492","49,310","46,459","44,718","49,045","58,498","47,496","41,625","37,676","55,202","40,016","60,378","50,518","61,000","43,431","50,125","56,796","77,780","39,418","27,988","35,337","51,129","65,533","48,629","46,110","29,563","50,588","38,753","48,029","45,222","35,200"
460,"42,541","28,253","29,020","39,022","54,365","41,039","48,316","57,014","47,308","53,812","68,425","68,384","39,947","29,308","36,167","47,725","44,153","61,078","46,106","64,475","52,659","61,700","47,482","29,731","54,075","44,963","49,176","39,196","38,353","65,069","53,390","33,978","79,496","40,294","59,504","43,892","46,892","50,267","39,261","59,625","68,841","61,904","43,484","45,329","54,204","52,400","58,000","42,471","38,345","49,467","41,910","41,535","60,543","37,822","31,359","36,769","62,231","38,941","27,133","34,973","47,735","65,959","64,973","50,596","58,473","42,396","48,202","45,104","43,482","48,086","57,267","46,300","40,653","36,753","54,157","39,298","59,488","49,375","60,182","42,312","48,825","56,086","78,286","39,920","27,706","34,743","50,180","64,767","47,927","45,200","29,173","49,233","37,882","46,847","44,163","34,702"
480,"42,053","28,149","28,900","38,510","53,186","40,678","47,324","57,194","46,814","52,537","68,465","68,445","39,457","29,143","35,571","47,041","43,816","60,920","45,720","64,637","52,598","62,078","47,198","29,541","53,967","44,253","48,118","38,431","37,749","64,706","53,061","33,729","78,345","39,643","60,116","43,390","46,714","50,365","38,567","59,169","68,639","61,563","43,010","44,729","53,767","52,190","58,029","41,767","38,192","49,247","41,659","40,657","59,994","37,124","31,059","36,465","62,216","38,443","27,249","35,245","47,086","65,427","64,502","50,208","58,488","41,757","48,006","44,343","42,451","48,151","57,424","45,880","40,361","36,284","53,676","38,845","59,441","48,871","60,239","42,012","47,894","56,133","77,878","40,647","27,843","34,053","49,449","64,533","47,337","44,900","29,192","48,298","37,616","46,857","43,429","34,506"
500,"41,724","28,049","28,773","37,990","52,522","40,645","46,996","56,969","46,490","51,937","68,337","68,386","39,131","28,890","35,153","46,531","43,159","60,786","45,084","64,506","52,324","62,137","46,867","29,496","53,725","43,686","47,610","37,880","37,235","64,739","52,859","33,375","77,571","39,247","60,402","43,092","46,861","50,441","38,453","59,147","69,135","61,780","42,873","44,292","53,206","51,975","57,849","41,425","37,794","48,745","41,306","40,271","60,302","36,643","30,865","36,025","62,159","38,094","26,945","35,071","46,669","65,061","64,439","49,610","58,533","41,510","47,708","43,667","42,078","47,961","57,239","45,729","40,198","36,210","53,280","38,365","59,435","48,596","60,233","41,937","47,820","56,206","77,745","40,702","27,724","33,904","49,255","64,855","47,294","45,076","29,204","47,853","37,767","47,102","43,235","34,476"
520,"42,141","28,218","28,829","38,065","53,041","40,886","47,351","57,404","46,437","52,255","69,220","68,939","38,918","28,843","35,047","46,604","43,392","61,451","45,278","65,465","52,627","62,927","46,963","29,514","54,369","43,708","47,908","37,886","37,361","65,316","53,276","33,478","78,431","39,398","61,755","43,092","48,427","51,065","38,475","59,786","70,025","62,671","43,296","44,347","53,337","51,849","59,049","41,561","37,888","48,949","41,388","40,320","61,873","36,382","30,855","36,082","62,900","38,053","27,090","35,137","46,861","65,653","65,200","49,933","58,965","41,535","48,031","43,708","42,361","48,192","58,471","46,069","40,206","36,796","53,824","38,445","60,075","49,014","60,837","42,390","47,900","56,661","78,718","41,239","27,943","34,071","49,380","65,904","47,239","44,986","29,345","48,108","38,116","47,053","43,610","34,733"
"540,25","41,818","28,018","28,792","37,920","52,441","40,543","47,004","57,365","46,002","51,904","69,057","68,741","38,786","28,584","34,712","46,145","43,339","61,047","44,671","65,210","52,292","63,400","46,475","29,318","53,973","43,453","47,386","37,422","37,014","65,159","53,027","33,253","77,998","38,992","61,827","42,582","49,616","51,292","38,047","59,486","70,047","62,778","42,982","43,816","52,724","51,429","58,604","41,141","37,625","48,551","40,875","40,706","61,753","35,992","30,647","35,737","62,725","37,716","26,973","34,671","46,612","65,237","64,586","49,471","58,920","41,169","47,767","43,357","42,082","47,875","58,165","45,243","40,041","37,045","53,937","38,024","59,910","48,375","60,420","42,304","47,702","56,631","78,378","40,988","27,924","33,941","49,186","65,947","47,361","44,739","29,312","47,910","37,914","46,663","43,255","34,255"
560,"41,410","27,910","28,576","37,314","51,476","39,865","46,427","56,822","45,310","50,429","68,190","68,322","37,863","28,163","33,975","45,245","42,186","60,220","43,912","64,225","51,176","63,465","46,055","29,127","52,988","42,110","46,324","36,296","36,082","63,698","52,225","32,739","77,214","38,029","61,710","42,173","50,386","50,818","37,351","58,551","69,841","61,949","41,916","43,027","51,829","50,431","57,598","40,304","37,176","47,618","40,280","40,092","61,325","35,339","30,200","35,192","61,978","37,267","26,731","34,341","45,194","64,506","63,478","48,682","57,890","40,167","46,829","42,263","40,818","46,945","57,078","44,614","39,737","37,086","52,565","37,288","59,024","47,576","59,665","42,143","46,527","55,655","77,357","40,386","27,822","33,324","47,929","65,116","46,649","44,137","29,043","46,406","37,222","46,124","42,376","34,016"
580,"41,314","27,896","28,622","37,325","51,510","39,894","45,951","57,012","44,941","50,243","68,075","67,878","37,451","27,902","33,845","44,939","41,508","60,137","43,586","64,218","51,522","64,180","46,029","29,118","53,280","41,853","46,139","36,157","35,776","64,529","52,206","32,598","77,471","37,696","62,194","41,769","52,510","50,671","37,224","58,416","70,365","62,308","41,876","42,904","51,222","50,343","57,710","40,316","36,937","47,324","39,922","40,194","61,673","34,925","30,100","34,798","62,241","36,927","26,682","34,163","45,116","64,208","63,433","48,122","58,053","40,206","46,700","42,133","40,847","46,710","57,586","44,427","40,198","38,076","52,696","36,894","59,198","47,655","59,573","42,959","46,239","55,610","77,131","40,222","27,796","33,312","47,627","65,567","46,396","44,041","28,980","46,273","37,373","46,149","42,390","34,031"
