File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210122_103346
MTP,7
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
400,"68,304","73,392","68,839","70,684","79,857","72,382","75,878","81,192","75,998","81,433","70,700","56,896","60,118","78,663","75,647","71,157","63,402","56,461","70,427","60,500","72,600","66,927","66,547","56,857","71,618","64,975","37,476","54,296","66,443","59,900","55,945","73,620","58,680","76,418","62,480","73,906","59,227","73,533","61,192","61,694","64,867","25,422","49,629","65,051","67,259","67,959","70,310","61,196","63,063","64,084","56,545","55,853","46,967","60,239","66,016","63,212","70,953","57,669","47,239","63,825","66,637","51,976","67,629","40,194","75,292","60,073","59,549","29,159","69,804","55,422","63,327","65,655","74,735","79,361","72,600","71,880","70,302","72,124","69,755","68,771","72,812","79,376","77,765","81,147","75,029","63,829","71,390","71,092","37,484","59,339","75,794","72,675","77,341","73,073","74,182","78,388"
420,"72,043","77,594","71,863","73,494","82,580","75,061","79,475","83,649","78,529","84,559","74,584","61,978","65,573","81,775","78,296","75,555","68,490","61,459","73,624","66,729","76,665","70,871","71,541","61,192","74,810","69,794","38,998","59,565","70,312","65,504","61,559","75,975","63,965","79,186","65,965","76,249","64,908","77,163","62,414","68,069","69,265","25,347","55,084","69,492","71,331","72,114","72,769","66,559","66,790","69,106","62,135","62,061","53,110","66,165","69,633","66,692","74,763","61,004","50,467","68,114","70,363","54,280","70,222","42,304","78,390","65,349","63,369","29,688","74,137","59,661","67,473","70,663","76,684","81,225","73,276","75,498","72,635","73,906","72,784","71,788","75,592","83,161","80,041","83,288","76,865","68,037","73,249","73,271","39,151","63,198","78,263","75,612","79,357","74,641","76,869","81,818"
440,"74,878","81,078","75,604","76,539","84,733","77,076","81,735","85,857","81,151","86,133","79,069","67,541","69,890","84,365","81,131","80,151","72,496","66,641","75,782","70,810","80,376","74,629","75,429","66,376","77,416","72,892","39,675","64,412","73,159","70,080","67,582","77,210","69,104","82,163","70,204","78,127","68,898","79,729","67,222","71,894","72,559","25,143","60,898","73,665","74,280","75,316","75,490","71,606","69,706","72,914","67,006","67,651","59,088","70,986","72,575","69,624","79,149","63,886","52,771","72,471","72,325","58,025","72,859","44,843","81,484","68,880","68,269","29,810","78,176","64,586","70,729","73,647","79,245","84,561","75,167","78,822","74,139","75,104","76,333","74,318","78,596","85,275","81,578","85,810","79,937","71,802","75,145","75,290","41,180","66,635","82,075","78,229","81,700","76,441","79,722","84,641"
460,"76,645","82,502","76,912","77,637","86,586","79,378","82,831","87,924","82,700","86,808","81,259","70,927","73,000","86,635","83,390","81,653","75,837","70,465","76,406","75,363","81,463","76,931","77,941","70,592","79,518","73,998","41,100","69,439","74,947","72,910","70,837","77,980","72,145","85,071","71,784","80,020","72,502","80,582","71,029","75,978","75,618","24,776","66,112","77,325","74,792","77,343","76,614","74,231","69,849","76,590","71,135","70,802","62,604","74,192","73,637","70,675","79,953","66,602","54,276","74,471","72,465","61,100","73,335","47,908","83,643","72,053","71,182","30,531","80,541","68,002","72,165","75,839","80,182","86,492","76,924","79,818","73,851","76,090","77,724","75,253","79,190","85,673","83,024","87,337","81,443","74,259","76,382","76,463","42,408","69,292","83,765","80,637","82,324","78,076","81,473","86,329"
480,"78,633","84,218","77,969","79,320","88,559","81,071","84,824","90,063","84,622","89,214","82,684","74,822","74,137","88,906","85,075","82,845","77,929","73,131","79,149","78,884","82,494","78,890","78,733","73,214","82,263","73,959","41,939","72,859","74,898","74,982","73,586","80,686","74,804","86,661","73,865","82,224","74,959","82,490","73,225","78,967","77,043","24,412","69,745","78,314","75,078","79,539","77,180","75,673","70,018","78,722","73,747","73,931","66,388","75,159","73,829","71,418","82,339","68,557","55,490","75,618","73,675","64,555","75,163","51,290","84,847","74,812","73,457","31,845","82,133","70,567","74,118","78,371","80,684","87,884","78,090","82,031","76,125","78,104","80,180","77,133","80,786","88,443","83,669","88,512","82,508","75,494","78,435","79,082","44,455","70,463","84,780","82,488","82,376","79,896","83,527","88,588"
500,"79,853","85,867","80,416","80,175","88,971","80,798","85,278","90,737","84,784","90,416","84,831","77,824","74,765","90,196","85,637","84,604","78,878","75,367","79,427","79,308","83,737","78,888","80,596","74,906","82,506","76,147","42,790","74,522","76,243","75,059","74,773","80,241","76,339","86,855","74,965","82,829","76,069","82,616","75,222","79,290","77,063","24,129","71,980","79,061","76,733","79,092","78,225","76,216","72,114","79,441","74,373","75,653","68,851","75,973","75,716","73,476","83,602","70,004","56,555","76,767","75,406","66,963","76,051","53,643","84,047","76,090","73,888","32,818","82,476","71,845","74,863","79,875","80,780","88,825","77,853","83,708","76,920","78,216","81,602","77,618","81,098","89,733","83,839","89,022","82,629","75,733","78,761","79,776","46,404","70,431","85,075","82,212","82,141","79,386","83,818","89,218"
520,"81,653","87,239","82,296","81,414","90,712","81,847","87,075","92,267","86,251","91,992","86,375","80,543","78,286","92,110","87,133","86,682","80,937","77,824","80,335","80,800","85,459","81,973","83,545","76,875","84,367","78,267","44,114","76,616","78,386","76,508","75,102","81,292","78,073","88,257","76,196","83,837","77,796","84,196","76,578","81,255","77,504","23,971","75,071","81,794","78,255","80,688","79,165","77,804","73,439","81,986","74,565","76,747","70,606","79,198","76,627","75,337","84,598","71,571","57,457","79,241","76,176","69,914","77,461","56,125","84,557","78,222","75,951","34,112","83,888","74,012","76,382","82,612","80,937","89,831","78,733","84,773","77,786","78,963","82,720","78,557","81,937","91,969","84,598","89,818","82,925","75,833","79,955","80,873","48,369","70,553","87,175","83,094","83,182","80,073","84,855","91,339"
540,"82,684","88,049","82,890","82,935","92,320","83,227","87,786","93,169","87,035","92,845","87,345","80,800","78,480","92,308","87,359","87,439","81,857","78,700","80,096","83,214","85,957","83,067","83,739","78,427","85,065","78,173","45,902","78,365","78,769","78,794","76,975","81,418","79,263","89,543","76,837","84,573","79,876","85,008","75,837","83,508","79,306","23,941","75,388","81,969","77,804","82,053","79,435","79,500","73,888","83,176","75,837","78,110","72,649","80,288","77,653","76,078","85,641","72,825","58,702","80,176","76,543","72,124","77,014","58,882","85,008","79,088","77,065","35,690","84,667","75,065","77,325","83,982","81,271","91,043","78,796","85,765","78,253","79,096","83,694","79,610","82,459","93,247","85,335","90,414","83,125","76,835","80,433","81,994","51,575","71,655","88,069","83,292","83,404","80,033","85,576","92,904"
560,"84,708","90,400","84,767","85,382","95,082","85,575","90,139","95,392","89,388","95,275","89,006","83,000","80,027","94,406","89,543","89,375","83,573","80,227","81,061","85,782","87,398","85,098","85,080","81,461","87,212","79,488","48,478","79,290","79,812","80,565","79,035","82,884","80,649","91,857","79,284","86,378","82,316","87,506","76,525","84,957","80,890","23,937","76,912","83,365","78,900","83,645","80,441","81,627","75,537","84,606","78,620","80,945","74,380","81,939","79,461","77,327","87,788","74,694","59,643","82,433","77,757","74,175","78,267","62,045","86,488","80,631","79,049","38,243","86,680","76,792","78,692","86,012","82,641","93,267","79,998","87,716","79,155","80,496","85,633","81,808","83,794","95,282","86,910","91,886","84,229","78,608","81,602","83,692","54,931","73,588","90,469","84,725","85,006","81,233","87,616","94,757"
580,"84,576","90,549","84,967","85,965","95,753","86,276","90,041","95,251","89,506","95,496","89,618","84,225","80,084","94,610","89,778","89,727","84,390","81,588","81,096","86,625","87,990","86,076","85,239","83,155","88,029","79,206","51,216","79,390","79,716","80,394","79,651","82,882","81,747","92,180","80,071","86,965","83,308","87,978","76,333","85,451","80,996","23,522","78,549","83,373","78,927","84,280","80,353","82,304","75,388","85,137","78,967","81,051","74,918","82,194","79,588","77,475","88,110","75,596","59,878","83,645","77,953","75,159","78,498","64,127","86,333","81,349","79,847","40,716","88,057","77,416","79,473","87,265","81,306","92,227","79,514","88,292","79,120","80,247","86,525","82,049","83,971","95,545","86,920","91,951","83,692","79,384","81,531","84,427","57,490","74,104","91,069","85,522","84,894","81,412","88,573","94,878"
